ts_utc,table_name,total_count,new_rows,mean_ms,p50_ms,p95_ms
2025-10-17T09:29:47.053703+00:00,files,0,0,,,
2025-10-17T09:29:47.066651+00:00,chunks,0,0,,,
2025-10-17T09:29:47.077952+00:00,candidates,0,0,,,
2025-10-17T09:29:47.098941+00:00,clones,0,0,,,
2025-10-17T09:29:47.127797+00:00,statusUpdates,0,0,,,
2025-10-17T09:34:47.278484+00:00,files,61400,10000,,,
2025-10-17T09:34:47.408612+00:00,chunks,490300,10000,,,
2025-10-17T09:34:47.492967+00:00,candidates,0,0,,,
2025-10-17T09:34:47.507857+00:00,clones,0,0,,,
2025-10-17T09:34:47.532182+00:00,statusUpdates,3,3,,,
2025-10-17T09:39:47.617009+00:00,files,61400,10000,,,
2025-10-17T09:39:47.785240+00:00,chunks,1384500,10000,,,
2025-10-17T09:39:47.860918+00:00,candidates,0,0,,,
2025-10-17T09:39:47.876325+00:00,clones,0,0,,,
2025-10-17T09:39:47.893191+00:00,statusUpdates,3,0,,,
2025-10-17T09:44:47.988372+00:00,files,61400,10000,,,
2025-10-17T09:44:48.126646+00:00,chunks,2384600,10000,,,
2025-10-17T09:44:48.205223+00:00,candidates,0,0,,,
2025-10-17T09:44:48.221826+00:00,clones,0,0,,,
2025-10-17T09:44:48.238748+00:00,statusUpdates,3,0,,,
2025-10-17T09:49:48.330520+00:00,files,61400,10000,,,
2025-10-17T09:49:48.495822+00:00,chunks,3359300,10000,,,
2025-10-17T09:49:48.571552+00:00,candidates,0,0,,,
2025-10-17T09:49:48.599433+00:00,clones,0,0,,,
2025-10-17T09:49:48.622541+00:00,statusUpdates,3,0,,,
2025-10-17T09:54:48.793343+00:00,files,61400,10000,,,
2025-10-17T09:54:48.922006+00:00,chunks,4241400,10000,,,
2025-10-17T09:54:49.001228+00:00,candidates,0,0,,,
2025-10-17T09:54:49.023328+00:00,clones,0,0,,,
2025-10-17T09:54:49.055013+00:00,statusUpdates,3,0,,,
2025-10-17T09:59:49.312420+00:00,files,61400,10000,,,
2025-10-17T09:59:49.461408+00:00,chunks,5136300,10000,,,
2025-10-17T09:59:49.561028+00:00,candidates,0,0,,,
2025-10-17T09:59:49.583493+00:00,clones,0,0,,,
2025-10-17T09:59:49.606440+00:00,statusUpdates,3,0,,,
2025-10-17T10:04:49.670752+00:00,files,61400,1400,,,
2025-10-17T10:04:49.772039+00:00,chunks,6688300,10000,,,
2025-10-17T10:04:49.862339+00:00,candidates,0,0,,,
2025-10-17T10:04:49.884668+00:00,clones,0,0,,,
2025-10-17T10:04:49.908228+00:00,statusUpdates,3,0,,,
2025-10-17T10:09:49.940939+00:00,files,61400,0,,,
2025-10-17T10:09:50.069392+00:00,chunks,8222900,10000,,,
2025-10-17T10:09:50.154232+00:00,candidates,0,0,,,
2025-10-17T10:09:50.175173+00:00,clones,0,0,,,
